Kode Universitas,Nama Universitas,No,Kode Prodi,Nama Prodi,Tingkat,Kuota,Peminat,Portofolio,Provinsi,Rank,Minat,Klaster
111,Universitas Syiah Kuala,1,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,84,411.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,2,11111002,TEKNIK SIPIL,Sarjana,98,606.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,3,11111003,TEKNIK MESIN,Sarjana,42,220.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,4,11111004,TEKNIK KIMIA,Sarjana,63,160.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,5,11111005,ARSITEKTUR,Sarjana,56,294.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,6,11111006,TEKNIK ELEKTRO,Sarjana,56,221.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,7,11111007,AGROTEKNOLOGI, ,42,183.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,8,11111008,AGRIBISNIS,Sarjana,56,299.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,9,11111009,PETERNAKAN,Sarjana,46,117.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,10,11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,56,109.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,11,11111011,TEKNIK PERTANIAN,Sarjana,56,171.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,12,11111012,PENDIDIKAN BIOLOGI,Sarjana,42,194.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,13,11111013,PENDIDIKAN MATEMATIKA,Sarjana,42,173.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,14,11111014,PENDIDIKAN FISIKA,Sarjana,42,59.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,15,11111015,PENDIDIKAN KIMIA,Sarjana,42,55.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,16,11111016,PENDIDIKAN DOKTER,Sarjana,88,1859.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,17,11111017,ILMU KEPERAWATAN,Sarjana,126,1313.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,18,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,35,858.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,19,11111019,MATEMATIKA,Sarjana,28,50.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,20,11111020,FISIKA,Sarjana,28,14.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,21,11111021,KIMIA,Sarjana,28,58.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,22,11111022,BIOLOGI,Sarjana,42,120.0,Tidak Ada,Aceh,,,
111,Universitas Syiah Kuala,23,11111023,ILMU KELAUTAN,Sarjana,56,132.0,Tidak Ada,Aceh,,,
